Company Number;Contact Id;Contact Person Number;Contact Type;Date Id;Direction;Fifteen Min Bucket;Finished At;Inside Service Level;Interaction Id;Phone Display Name;Ring Groups;Started At;Thirty Min Bucket;Transfer In;Transfer In Type;Transfer Out;Transfer Out Type;User Id;User Name;Answered At;Callback;Abandon Time;After Call Work Time;Duration;Handle Time;Hard Hold Time;Hold Time;Ring Time;Short Abandon Time;Talk Time;Wait Time;;;
3,91E+12;004e36e0884f42e19ef8b63c7a244ee9;3,93E+11;Answered;20240223;IN;11:30-11:45;2/23/2024 11:50:27 AM;No;554749979b024fbaa6fc566beee9ac82;Italy - DeLonghi - EC;delonghi_dl;2/23/2024 11:40:24 AM;11:30-12:00;No;;No;;6436e441b87ce000a1beb74c;Antonina xxxxxxx;2/23/2024 11:41:06 AM;No;;10;602;560;;;3;;550;42;;;
3,91E+12;00cf750c56a644c79e358b1f82aa20ca;3,93E+11;Answered;20240220;IN;13:45-14:00;2/20/2024 2:03:22 PM;Yes;391e53c7da714fb1a66a0d8d82c9f923;Italy - DeLonghi - EC;delonghi_dl;2/20/2024 1:50:01 PM;13:30-14:00;No;;No;;6436e443b87ce000a1beb74d;Federica xxxxxx;2/20/2024 1:50:15 PM;No;;1;801;787;333;333;11;;453;13;;;
3,91E+12;00d4db693f3e45d2a5c94796af9bc349;3,93E+11;Answered;20240308;IN;13:30-13:45;03/08/2024 13:40;Yes;8556fc61884143ea89d6c52afe3ab31e;Italy - DeLonghi - EC;delonghi_dl;03/08/2024 13:38;13:30-14:00;No;;No;;6436e443b87ce000a1beb74d;Federica xxxxxx;03/08/2024 13:38;No;;10;148;140;;;5;;130;7;;;
3,91E+12;00db0faa064546d99ff6d526d0551bf4;3,93E+11;Answered;20240119;IN;12:00-12:15;1/19/2024 12:08:30 PM;Yes;d8ef4f5a69474312bcd6d0e534aaab15;Italy - DeLonghi - EC;delonghi_dl;1/19/2024 12:07:36 PM;12:00-12:30;No;;No;;6436e443b87ce000a1beb74d;Federica xxxxxx;1/19/2024 12:07:44 PM;No;;4;54;46;;;5;;42;7;;;
3,91E+12;00ed704d72074569b6c80832e739fd4a;3,93E+11;Abandoned;20240213;IN;16:45-17:00;2/13/2024 4:52:24 PM;No;520ae71833464964bd973af478c06ed0;Italy - DeLonghi - EC;delonghi_dl;2/13/2024 4:45:32 PM;16:30-17:00;No;;No;;; ;;No;411;;411;;;;;;;411;;;
3,91E+12;00f95e6796704688aa97226dca147893;3,93E+11;Answered;20240305;IN;17:30-17:45;03/05/2024 17:40;No;729f33adc2b343ba99476b2eca0bb4df;Italy - DeLonghi - EC;delonghi_dl;03/05/2024 17:34;17:30-18:00;No;;No;;6436e443b87ce000a1beb74d;Federica xxxxxx;03/05/2024 17:39;No;;10;361;77;;;3;;67;283;;;
3,91E+12;014662c79b954f11bcd0503c075cd7d9;3,93E+11;Answered;20240129;IN;13:15-13:30;1/29/2024 1:33:39 PM;Yes;7305c36b12134b1eb5f76e821a543047;Italy - DeLonghi - EC;delonghi_dl;1/29/2024 1:26:34 PM;13:00-13:30;No;;No;;6436e440b87ce000a1beb74b;Laura xxxxxxx;1/29/2024 1:27:01 PM;No;;11;424;397;;;6;;386;26;;;
3,91E+12;01646ee13c05469c82eaf4a6918ddfe8;3,93E+11;Answered;20240124;IN;15:30-15:45;1/24/2024 3:49:53 PM;No;ec63193239b14ec19aa45a349a76fc88;Italy - DeLonghi - EC;delonghi_dl;1/24/2024 3:42:30 PM;15:30-16:00;No;;No;;6436e43b49b1301c7f1222ca;Andrea xxxxxxxxx;1/24/2024 3:46:26 PM;No;;10;442;205;;;18;;195;235;;;
3,91E+12;01a21abc5a624061918099b5a8dd32cd;3,94E+11;Answered;20240223;IN;17:30-17:45;2/23/2024 5:50:20 PM;No;5863502e351b4243bd5d7b88ce18d06c;Italy - DeLonghi - EC;delonghi_dl;2/23/2024 5:44:08 PM;17:30-18:00;No;;No;;6436e440b87ce000a1beb74b;Laura xxxxxxx;2/23/2024 5:45:24 PM;No;;10;371;295;;;4;;285;76;;;
3,91E+12;020d0b8f60694af7aec8f6743022ea6f;3,93E+11;Answered;20240118;IN;15:45-16:00;1/18/2024 3:55:21 PM;Yes;c753f10f497043129996bf22ad8bbb99;Italy - DeLonghi - EC;delonghi_dl;1/18/2024 3:48:35 PM;15:30-16:00;No;;No;;6436e440b87ce000a1beb74b;Laura xxxxxxx;1/18/2024 3:48:44 PM;No;;3;405;396;;;7;;393;9;;;
